feature,coef,abs_coef
tenure,-1.2410586896819233,1.2410586896819233
MonthlyCharges,-1.0066135091430102,1.0066135091430102
TotalCharges,0.5183504281168929,0.5183504281168929
InternetService_Fiber optic,0.4419966020304626,0.4419966020304626
InternetService_DSL,-0.35359523527142434,0.35359523527142434
Contract_Two year,-0.3201747796096578,0.3201747796096578
Contract_Month-to-month,0.3046568352218087,0.3046568352218087
StreamingTV_Yes,0.18850365163794253,0.18850365163794253
StreamingMovies_Yes,0.18845119640584138,0.18845119640584138
InternetService_No,-0.12523258547706134,0.12523258547706134
OnlineSecurity_No internet service,-0.12523258547706134,0.12523258547706134
TechSupport_No internet service,-0.12523258547706134,0.12523258547706134
DeviceProtection_No internet service,-0.12523258547706134,0.12523258547706134
OnlineBackup_No internet service,-0.12523258547706134,0.12523258547706134
StreamingTV_No internet service,-0.12523258547706134,0.12523258547706134
StreamingMovies_No internet service,-0.12523258547706126,0.12523258547706126
MultipleLines_Yes,0.12223540588127169,0.12223540588127169
PaymentMethod_Electronic check,0.12133521459121638,0.12133521459121638
OnlineSecurity_No,0.11480489585885348,0.11480489585885348
TechSupport_No,0.10311472808384642,0.10311472808384642
MultipleLines_No,-0.10263067684328327,0.10263067684328327
PaperlessBilling_Yes,0.09109085179904118,0.09109085179904118
PaperlessBilling_No,-0.09109085179900228,0.09109085179900228
DeviceProtection_Yes,0.08293923648258984,0.08293923648258984
StreamingMovies_No,-0.08284164882828915,0.08284164882828915
StreamingTV_No,-0.08269683959281326,0.08269683959281326
PaymentMethod_Credit card (automatic),-0.06453173331880946,0.06453173331880946
OnlineBackup_No,0.05657744789205674,0.05657744789205674
SeniorCitizen,0.05337221339980137,0.05337221339980137
PaymentMethod_Bank transfer (automatic),-0.05293055573984724,0.05293055573984724
Dependents_Yes,-0.051439690834905794,0.051439690834905794
Dependents_No,0.051439690834905794,0.051439690834905794
OnlineBackup_Yes,0.04913553905938003,0.04913553905938003
Contract_One year,-0.03588409947595058,0.03588409947595058
PhoneService_Yes,0.030614951780077355,0.030614951780077355
PhoneService_No,-0.030614951780077355,0.030614951780077355
MultipleLines_No phone service,-0.030614951780077355,0.030614951780077355
DeviceProtection_No,0.02426798790804889,0.02426798790804889
PaymentMethod_Mailed check,-0.02100682806597399,0.02100682806597399
OnlineSecurity_Yes,-0.013052957734678683,0.013052957734678683
gender_Female,-0.0056017485035423295,0.0056017485035423295
gender_Male,0.005601748503532665,0.005601748503532665
Partner_Yes,0.00538017234132404,0.00538017234132404
Partner_No,-0.00538017234132404,0.00538017234132404
TechSupport_Yes,-0.0001334431094098813,0.0001334431094098813
